name,price,rating,review
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹1,32,990",4.2,5 Ratings & 1 Reviews
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Dazzling Blue)","₹99,999",3.8,238 Ratings & 29 Reviews
"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, Silver)","₹88,200",3.5,6 Ratings & 4 Reviews
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹74,899",3.5,6 Ratings & 4 Reviews
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)","₹1,34,514",4.2,49 Ratings & 5 Reviews
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)","₹1,34,514",4.4,28 Ratings & 7 Reviews
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹1,32,990",4,16 Ratings & 1 Reviews
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)","₹1,46,355",3.5,6 Ratings & 4 Reviews
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)","₹1,26,153",4,16 Ratings & 1 Reviews
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Buck Black)","₹1,46,355",4.2,217 Ratings & 39 Reviews
"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Orange)","₹1,45,000",4.2,5 Ratings & 1 Reviews
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Alpine Green)","₹1,34,514",3.8,238 Ratings & 29 Reviews
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,900",4.3,594 Ratings & 92 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, White)","₹99,950",4,40 Ratings & 12 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Brooklyn Black)","₹1,05,000",3.9,12 Ratings & 5 Reviews
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹1,14,208",3.8,238 Ratings & 29 Reviews
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,899",3.9,12 Ratings & 5 Reviews
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)","₹1,45,651",4,40 Ratings & 12 Reviews
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Desat Silver)","₹1,14,208",4.2,49 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Blue)","₹1,05,000",3.8,238 Ratings & 29 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹99,950",4.2,5 Ratings & 1 Reviews
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹1,32,990",4.2,217 Ratings & 39 Reviews
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Pearl White)","₹99,999",3.9,12 Ratings & 5 Reviews
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹74,899",4.2,49 Ratings & 5 Reviews
"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, White)","₹88,200",4,40 Ratings & 12 Reviews
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Bounce Yellow)","₹99,999",3.9,12 Ratings & 5 Reviews
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Galactic Grey)","₹1,04,900",3.9,12 Ratings & 5 Reviews
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)","₹1,05,000",4.2,49 Ratings & 5 Reviews
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,32,990",4.2,5 Ratings & 1 Reviews
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹99,950",3.8,238 Ratings & 29 Reviews
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)","₹1,34,514",3.5,6 Ratings & 4 Reviews
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)","₹1,34,514",3.5,6 Ratings & 4 Reviews
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹1,32,990",4.2,49 Ratings & 5 Reviews
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)","₹1,46,355",3.6,22 Ratings & 5 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,499",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Grey)","₹93,999",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹1,24,990",4,96 Ratings & 31 Reviews
"Bounce Infinity E1 Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹80,490",3.6,22 Ratings & 5 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹74,499",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹1,24,990",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Black)","₹93,999",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹93,999",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Green)","₹93,999",3.6,22 Ratings & 5 Reviews
"BGauss BG A2 Booking for Ex-Showroom Price (Without Charger, Caspian Blue)","₹71,199",4,4 Ratings & 0 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹74,499",4,4 Ratings & 0 Reviews
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Anthracite Quartz)","₹1,45,651",3.5,6 Ratings & 4 Reviews
"BGauss BG B8 Booking for Ex-Showroom Price (Without Charger, Zed Black)","₹50,000",3.6,22 Ratings & 5 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹74,499",3.6,22 Ratings & 5 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,24,990",3.7,3 Ratings & 0 Reviews
